Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
lavaplatos liquido axion 400,7509546017143,GALLETA CUETARA CREMA SUR PT12,755111180607,0.0,20.0,3.52,0.02,0.05
FRIJOL LA TROJA ROJO 700 GS,7441057503381,ZUCO PIÑA 13g,7503037746192,0.01,10.0,3.52,0.1,0.02
ELOTITOS DIANA CON PICANTE 185 GS,748757001580,PAPAS LA VICTORIA 120G,7443003610051,0.0,10.0,3.52,0.03,0.02
Choys blanco arroz,7702007060348,MAIZ CHINO DIANA 144 GS,748757000125,0.0,20.0,3.52,0.02,0.05
NATURAS SOFRITO CRIOLLO 210G,7411000313961,MAYONESA HELLMANNS NATURAL 400G,747627100217,0.0,7.14,3.52,0.05,0.02
NATURAS SOFRITO CRIOLLO 210G,7411000313961,SALSA SANTA CRUZ CHUNKY S/PICA,796500003817,0.0,7.14,3.52,0.05,0.02
NATURAS SOFRITO CRIOLLO 210G,7411000313961,3 pack atun sadimar trocitos,7441002641823,0.0,7.14,3.52,0.05,0.02
JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,NEVAX MAXI RES. 3+1 ECONOROLLO,7441057267672,0.0,14.29,3.52,0.02,0.03
CHIRULITOS TOSTY DE  100 G,7441000700225,JABON IREX CILINDRO 90GRS,748928000619,0.0,7.14,3.52,0.05,0.02
CHIRULITOS TOSTY DE  100 G,7441000700225,ALIMENTO PERRO CACHORRO DUKETAS 1 K,7443007536494,0.01,14.29,3.52,0.05,0.03
pROTEINA FRESA 250 ML,7441001644849,ALIMENTO CAT CHOW 1.5 ADULTO PESCADO,7501777001151,0.0,7.14,3.52,0.05,0.02
NATURAS SOFRITO CRIOLLO 210G,7411000313961,YOGURT BIODELACTOMY VAINILLA 100 ML,7441001638756,0.0,7.14,3.52,0.05,0.02
Choys blanco arroz,7702007060348,CEREZA DIANA,748757005892,0.0,20.0,3.52,0.02,0.05
SALSA ROSADA CAMPESTRE 200G,769470002715,ACEITE MR.MAXIMO 900 ML SOYA,7441057503510,0.01,40.0,3.52,0.02,0.09
tableta rellena guayaba,7441001630293,CHOCOLATE ARCOR ALFAJOR BLANCO,7790040613607,0.0,10.0,3.52,0.03,0.02
camaronpinky500g.,527,acetona pura infasa,7441030682485,0.0,7.14,3.52,0.05,0.02
pROTEINA FRESA 250 ML,7441001644849,BARRA SUPER COCO BIANCHI,7702993053256,0.0,7.14,3.52,0.05,0.02
pROTEINA FRESA 250 ML,7441001644849,CREMA NIVEA BODY 100 ML,7501054549796,0.0,7.14,3.52,0.05,0.02
PAN ARROLLADO DULCE,7443001260272,SORBETO LA JOSEFINA 250gr,759487000200,0.0,10.0,3.52,0.03,0.02
pROTEINA FRESA 250 ML,7441001644849,Jabon geel olimpo 250 ml,7401006100733,0.0,7.14,3.52,0.05,0.02
PAN ARROLLADO DULCE,7443001260272,TURRON DE MANI ROSELLO 60 GS,761295203186,0.0,10.0,3.52,0.03,0.02
BIZCOCHO PALMAREÑOS 30 GM.,7441155903014,PIARANA LAZOS TRANSPARENTE 6CM 150/CJ,1884,0.0,7.14,3.52,0.05,0.02
BIZCOCHO PALMAREÑOS 30 GM.,7441155903014,BARRA SUPER COCO BIANCHI,7702993053256,0.0,7.14,3.52,0.05,0.02
quita esmalte rapitex 60 ml,7441000102739,SEDAL CREMA LISO SOBRE,7411000358641,0.0,10.0,3.52,0.03,0.02
JAMON PRENSADO 250 GS,7441001635595,Salchichon parrillero 500g,7441008942146,0.0,10.0,3.52,0.03,0.02
BIZCOCHO PALMAREÑOS 30 GM.,7441155903014,FRITOS TWISTS QUESO 19G TIRA 12U P.E,721282409205,0.0,7.14,3.52,0.05,0.02
TORTILLA TOSTADA GINA CREMA CEBOLLA 125 GS,7441031600419,RINSO ROSAS Y LILAS 1000G,7411000384596,0.0,10.0,3.52,0.03,0.02
PRENSA NEGRA PELO,7441094102721,GASILLAS DORADAS PEQ.,7441094102745,0.0,10.0,3.52,0.03,0.02
AVENA QUAKER MOSH 360GRS Z,803275305012,TARJETA SIM PREPAGO LIBERTY,7445094000223,0.0,7.14,3.52,0.05,0.02
CONO AZUCARADO 12 GS,7441001644382,ALCOHOL MEDICINAL 70º,7441141604543,0.0,10.0,3.52,0.03,0.02
AVENA QUAKER MOSH 360GRS Z,803275305012,CHIKY CHOC. 12,86581010881,0.0,7.14,3.52,0.05,0.02
AVENA QUAKER MOSH 360GRS Z,803275305012,CEREAL BARRA 6,7441001002625,0.0,7.14,3.52,0.05,0.02
bokita club integral bs 9,7441163406811,frijol rojo .800 grs maximo Z,7441057502780,0.0,10.0,3.52,0.03,0.02
CHIRULITOS TOSTY DE  100 G,7441000700225,SALSA CHUNKY S CRUZ PICANTE 250 FL,796500000281,0.01,14.29,3.52,0.05,0.03
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,JALEA UJARRAS PIÑA PTE/225GRS,7441041002951,0.0,7.14,3.52,0.05,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,rexona clinical expert,7506306214989,0.0,7.14,3.52,0.05,0.02
YOGURT CORONADO FRESA 1.8 LT.,7441013500652,YOGURT CORONADO MORA 1LT.,7441013504148,0.0,14.29,3.52,0.02,0.03
YOGURT CORONADO FRESA 1.8 LT.,7441013500652,palomita queso tosty 86g,7441000719654,0.0,14.29,3.52,0.02,0.03
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,MEZCLA VIGUI FRESA 175GRS,14979310558,0.0,7.14,3.52,0.05,0.02
MAYONESA LIZANO C/LIMON 100GRS,747627150038,BANDEJA PLASTICA  #4,642348,0.0,7.14,3.52,0.05,0.02
SARDINA LA SIRENA TOMATE 155G,28571000687,CREMA P/CAFE SR CAFE 370G LIGHT,7441002411044,0.0,10.0,3.52,0.03,0.02
MINI SUNDAE ALASKA CHICLE 70 GS,7441001646881,ATUN TESORO DEL MAR TROZOS 2 PACK,7441002653031,0.0,14.29,3.52,0.02,0.03
TAPITA GALLITO NAVIDEÑA,7441001621413,DETODITO 105 GS,721282404804,0.0,20.0,3.52,0.02,0.05
NIEVE  DE FRUTAS,7441163700025,palitos chilimon 23gs diana,748757004826,0.0,20.0,3.52,0.02,0.05
Alaska nieve limón,7441001646799,SOPA MAGGI MENUDOSA CON ARROZ 50 GS,8445291374942,0.0,7.14,3.52,0.05,0.02
Alaska nieve limón,7441001646799,CEREAL BARRA 6,7441001002625,0.0,7.14,3.52,0.05,0.02
LAVAPLATOS AXION REG 425G,99176263913,TORTILLA TETE FAJAS 500 GS,7441031600495,0.0,10.0,3.52,0.03,0.02
TALLARIN ROMA NAC. 300 GS,731701017232,"MOLDE ALUMINIO 25X14,6",9090901170002,0.0,14.29,3.52,0.02,0.03
Frijol negro Don Pedro,7441037918044,CHIKY CHOC. 12,86581010881,0.01,7.14,3.52,0.09,0.02
Frijol negro Don Pedro,7441037918044,ATUN VEGETALES SARDIMAR 105GR,7441002600097,0.02,21.43,3.52,0.09,0.05
Frijol negro Don Pedro,7441037918044,lavaplatos liquido axion 400,7509546017143,0.01,7.14,3.52,0.09,0.02
Frijol negro Don Pedro,7441037918044,SORBETO FESTIVAL VAINILLA,86581004187,0.01,7.14,3.52,0.09,0.02
MAYONESA LIZANO C/LIMON 100GRS,747627150038,papel aluminio 30m,9090400190006,0.0,7.14,3.52,0.05,0.02
TOSTY 12 PACKS SURTIDO,7441000721558,CONO AZUCARADO 12 GS,7441001644382,0.0,14.29,3.52,0.02,0.03
RANCHITA CINEMA 300 GS,750894613151,FRIJOLES LIZANO NEGROS 227GRS,7411000341063,0.0,14.29,3.52,0.02,0.03
HELADO PINTA COMBINADO 272 G.,7441001609718,NEVAX PAPEL HIGIENICO PRACTIMAS HOJA DOBLE 1UNID-,7441057266651,0.0,20.0,3.52,0.02,0.05
MERENDINA CREMA PTE12,86581211127,ARTESANAS  COCO 100 GS,755111689995,0.0,20.0,3.52,0.02,0.05
MERENDINA CREMA PTE12,86581211127,FABULOSO LAVANDA 750 ML,99176132431,0.0,20.0,3.52,0.02,0.05
CLORO CLOROX BOLSA 900ML,7441000313104,LAVAPLATOS PASTA IREX MANZANA 450 G,748928001821,0.0,10.0,3.52,0.03,0.02
CLORO CLOROX BOLSA 900ML,7441000313104,TORTILLA TETE FAJAS 500 GS,7441031600495,0.0,10.0,3.52,0.03,0.02
ELECTROLIT MARACUYA 625 ML,7502268547059,saba diarios tradicional mregulaR  50 UN.,7501019040870,0.0,10.0,3.52,0.03,0.02
MANI CHOCOLATE PRO 70 GS,7441005711516,CHOCOLATE ARCOR ALFAJOR BLANCO,7790040613607,0.0,10.0,3.52,0.03,0.02
CLORO CLOROX BOLSA 900ML,7441000313104,ARTESANAS NARANJA 100 GS,755111185077,0.0,10.0,3.52,0.03,0.02
AYOTE,560,atun tesoro del mar 295 grs solidario,7441002648617,0.0,14.29,3.52,0.02,0.03
JABON PROTEX  ALOE,99176922384,PAPEL HIGIENICO ENCANTO 1 x 4 CLASICO,7416502201587,0.0,10.0,3.52,0.03,0.02
FRIJOLES MOLIDOS NEGROS MEDIO SANTA CRUZ 400G,796500000380,LAVAPLATOS AXION REG 425G,99176263913,0.0,14.29,3.52,0.02,0.03
NIEVE  DE FRUTAS,7441163700025,TUTTO TRUE LOVERS CARAMELO 80g,7702007084610,0.0,20.0,3.52,0.02,0.05
MILAN x 12 und,7441001620287,GANSITO BIMBO 50 GS,74000708,0.0,20.0,3.52,0.02,0.05
"4 pack ranchera, carne. hongos",7411000359112,atun tesoro del mar 295 grs solidario,7441002648617,0.0,14.29,3.52,0.02,0.03
"4 pack ranchera, carne. hongos",7411000359112,"MOLDE ALUMINIO 25X14,6",9090901170002,0.0,14.29,3.52,0.02,0.03
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,MERENDINA CREMA PTE12,86581211127,0.0,7.14,3.52,0.05,0.02
QUESITOS CRUNCH TOSTY DE120 G.,55253,TORTILLA TOSTADA GINA CREMA CEBOLLA 125 GS,7441031600419,0.0,14.29,3.52,0.02,0.03
Irex floral 125g,748928005324,"MOLDE ALUMINIO 25X14,6",9090901170002,0.0,14.29,3.52,0.02,0.03
Irex floral 125g,748928005324,SALSA LIZANO SUAVE PLAST 280ML,7411000344897,0.0,14.29,3.52,0.02,0.03
Two pack rey 2000g,748366200534,CONSOME KNORR/P/ ARROZ  PT/4,7411000344958,0.0,7.14,3.52,0.05,0.02
JABON PROTEX  ALOE,99176922384,PRENSAS CLASICASCONSTRATE,757962048334,0.0,10.0,3.52,0.03,0.02
BOLSA CHEPITA GRANDE 9U,748928000985,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.0,14.29,3.52,0.02,0.03
Irex floral 125g,748928005324,TOALLA COCINA SELPAK,8690530008847,0.0,14.29,3.52,0.02,0.03
Irex floral 125g,748928005324,CLOROX PUREZA CITRICA 900ML,7441000313159,0.0,14.29,3.52,0.02,0.03
Mani mixto 30 g,7443016970104,palitos chilimon 23gs diana,748757004826,0.0,20.0,3.52,0.02,0.05
CREMA PANTENE KERATINA SOBRE,7500435246330,TOSTADA LA FAVORITA Z,7443001260289,0.0,7.14,3.52,0.05,0.02
CREMA PANTENE KERATINA SOBRE,7500435246330,TACO 3 QUESOS 18 GS,750894612628,0.0,7.14,3.52,0.05,0.02
CEREZA DIANA 166 GS.,748757000545,one plus granola y mandarina,7441171100923,0.0,7.14,3.52,0.05,0.02
CEREZA DIANA 166 GS.,748757000545,SORBETO  TODAY CREMA LIMON 200 GS,8695504165342,0.0,7.14,3.52,0.05,0.02
CEREZA DIANA 166 GS.,748757000545,GOMITAS EL LEGADO 150 G.,7443006820259,0.0,7.14,3.52,0.05,0.02
PASTA ROMA FETUCCINE 250 GS,731701018147,CAFE CLASICO LEYENDA 250 G,645860000922,0.0,10.0,3.52,0.03,0.02
bokita club integral bs 9,7441163406811,ORIX FORAL 900G,748928006512,0.0,10.0,3.52,0.03,0.02
BOLSA CHEPITA GRANDE 9U,748928000985,GALLETA ARTESANA CUETARA COCO 300 GS,755111685133,0.0,14.29,3.52,0.02,0.03
CNFITE MORENITO 52und,7441001620225,promocion jacks 3 packc,7441001006487,0.0,14.29,3.52,0.02,0.03
desinfectante tronex caricia de bebe 425 ml,7441005634945,galleta chocochips favorita,7443001260791,0.0,20.0,3.52,0.02,0.05
CLORO BLANKITA BOLSA450ML,748928006062,BOLSA ZESTA PEQUEÑA BLANC PTE9,806246110424,0.0,10.0,3.52,0.03,0.02
CLORO CONEJOS ROPA COLOR 100ML,7441000370497,CLORO CLOROX BOLSA 900ML,7441000313104,0.0,14.29,3.52,0.02,0.03
Lays original 190g,721282406679,MANI C/LIMON 18 GS PRO,7441005711813,0.0,10.0,3.52,0.03,0.02
FRIJOL VALLE REAL ROJO 700 GS,7441057503664,ZUKO CEBADA 13gr,7503037746093,0.0,14.29,3.52,0.02,0.03
PACHANGA 49 GS,748757009111,ARTESANAS NARANJA 100 GS,755111185077,0.0,10.0,3.52,0.03,0.02
ENVASE 1/2  CANTONES C/ TAPA,394,ATUN SARDIMAR LOMO TROZOS 105GS,7441002600035,0.0,10.0,3.52,0.03,0.02
PACHANGA 49 GS,748757009111,TORTILLA TETE FAJAS 500 GS,7441031600495,0.0,10.0,3.52,0.03,0.02
pasas de 100g,7441094107313,vitamaiz  200 g.,7441031803032,0.0,14.29,3.52,0.02,0.03
CREMA CLOSE UP ROJA 90GS,7891037744356,NEVAX MAXI RES. 3+1 ECONOROLLO,7441057267672,0.0,14.29,3.52,0.02,0.03
MAYONESA LIZANO C/LIMON 100GRS,747627150038,roma ketchup doy pack 106 g,731701017324,0.0,7.14,3.52,0.05,0.02
PECHUGUITAS KRISPY REY,7401004625245,NATILLA ZARCERO CON SAL 750G,7441013500430,0.0,10.0,3.52,0.03,0.02
VANISH QUITA MANCHA ROSADO 100ML,7702626214863,SALSA BANQUETE TOMATE 200 G.,735051007110,0.0,20.0,3.52,0.02,0.05
MARGARI NUMAR LIVI TAZA 227 . Z,751963130302,PRENSAS CLASICASCONSTRATE,757962048334,0.0,10.0,3.52,0.03,0.02
MARGARI NUMAR LIVI TAZA 227 . Z,751963130302,SALSA BANQUETE TOMATE 200 G.,735051007110,0.01,20.0,3.52,0.03,0.05
MARGARI NUMAR LIVI TAZA 227 . Z,751963130302,JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,0.0,10.0,3.52,0.03,0.02
VANISH QUITA MANCHA ROSADO 100ML,7702626214863,ATUN MI SABOR LOMO ENTERO 170G,7441010606067,0.0,20.0,3.52,0.02,0.05
saba diarios tradicional mregulaR  50 UN.,7501019040870,CAJA DE GALLETAS SODA POZUELO 20 PTES.,86581001124,0.0,14.29,3.52,0.02,0.03
saba diarios tradicional mregulaR  50 UN.,7501019040870,PACHANGA 49 GS,748757009111,0.0,14.29,3.52,0.02,0.03
saba diarios tradicional mregulaR  50 UN.,7501019040870,ZUKO NARANJA 13gr,7503037746246,0.0,14.29,3.52,0.02,0.03
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.0,14.29,3.52,0.02,0.03
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,GALLETA MAICENA DULCE DEL VALLE 230 GS,7443001260777,0.0,14.29,3.52,0.02,0.03
MAIZ DULCE TOÑOS 425GRS,796500002032,SUAVISANTE DOWNY PERLAS APRIL FERESH 141 GS,30772090947,0.0,7.14,3.52,0.05,0.02
MAIZ DULCE TOÑOS 425GRS,796500002032,GALLETAS PITUCA BESITOS,7441005131215,0.0,7.14,3.52,0.05,0.02
FRIJOL ENTERO TARRO 450 G,7441057500120,DUKETAS 1K,7443003020744,0.0,14.29,3.52,0.02,0.03
PASTA DENTAL COLGATE 100 ML.,7501035911031,TOALLA SILUETA REGULAR 2PACK,7443010581443,0.0,7.14,3.52,0.05,0.02
CREMA CLOSE UP ROJA 90GS,7891037744356,Frijol negro tiempo 800 g Z,7441006005188,0.0,14.29,3.52,0.02,0.03
PASTA DENTAL COLGATE 100 ML.,7501035911031,ATUN SPLASH VEGETALES 105G,7441002630001,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,lavaplatos liquido axion 400,7509546017143,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,JABON DIVA ALOE,7509546650289,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,AJAX C TRICOLIN  REGU 250G,99176120889,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,FRIJOL PINTICO ROJO 700 GS,7441037921686,0.0,7.14,3.52,0.05,0.02
PASTA ROMA FETUCCINE 250 GS,731701018147,CREMA MAGGI HONGOS 65GRS,88169430982,0.0,10.0,3.52,0.03,0.02
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,ZUKO NARANJA 13gr,7503037746246,0.0,14.29,3.52,0.02,0.03
PASTA DENTAL COLGATE 100 ML.,7501035911031,SALCHICHA HOT DOG 325 GS,7441001635670,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,TARTARA BLISTER LEGADO,7443006821355,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,Maseca 820 g,7441000727123,0.0,7.14,3.52,0.05,0.02
SALSA CHUKY 400 G,796500003435,SALSA CHUNKY S CRUZ PICANTE 250 FL,796500000281,0.0,14.29,3.52,0.02,0.03
SALSA BANQUETE TOMATE 200 G.,735051007110,CEREAL BARRA 6,7441001002625,0.0,7.14,3.52,0.05,0.02
MAIZ DULCE TOÑOS 425GRS,796500002032,te hierba bueno 25 und,730345002529,0.0,7.14,3.52,0.05,0.02
MAIZ DULCE TOÑOS 425GRS,796500002032,pastilla desinfectante blanko bouquet,7441005634198,0.0,7.14,3.52,0.05,0.02
XEDEX MAXIMO PODER 500gr,7411000364987,SALSA LIZANO SUAVE PLAST 280ML,7411000344897,0.0,14.29,3.52,0.02,0.03
MAYONESA LIZANO C/LIMON 100GRS,747627150038,JABON PROTEX  ALOE,99176922384,0.01,14.29,3.52,0.05,0.03
Tosty 12 refill,7441000728519,Lays original 190g,721282406679,0.0,14.29,3.52,0.02,0.03
DETERGENTE FORT 3 MULTI LIMPIEZA OFERTA,748928012865,galleta chocochips favorita,7443001260791,0.0,20.0,3.52,0.02,0.05
DETERGENTE FORT 3 1250 GS PLUS,748928011905,COPA P/LICOR (08),6951097100408,0.0,10.0,3.52,0.03,0.02
DUKETAS 1K,7443003020744,CHILERO TIO PELON 155GRS,7441006070018,0.0,10.0,3.52,0.03,0.02
palomitas tosty mantequilla,7441000719647,GELATINA ROYAL UVA 40G,7622300134082,0.0,10.0,3.52,0.03,0.02
SEMILLAS MIXTAS PRO 80G,7441005702200,frijol chula rojo 850 gs,7410030502666,0.0,10.0,3.52,0.03,0.02
CALAMARES PAY PAY EN SU TINTA 115G,8410042156405,SALSA CHINA TIO PELON 170G,1196,0.0,20.0,3.52,0.02,0.05
PASTA DENTAL COLGATE 100 ML.,7501035911031,DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,7.14,3.52,0.05,0.02
one plus granola y mandarina,7441171100923,ATUN MI SABOR LOMO ENTERO 170G,7441010606067,0.0,20.0,3.52,0.02,0.05
FRESAS 500g,537,ATUN MI SABOR LOMO ENTERO 170G,7441010606067,0.0,20.0,3.52,0.02,0.05
kit kat 41.5 g.,7891000248768,CHOCOLATE ARCOR ALFAJOR BLANCO,7790040613607,0.0,10.0,3.52,0.03,0.02
CHILERA CERVANTEÑA 450 GS,7443033150183,ELOTITOS DIANA CON PICANTE 185 GS,748757001580,0.0,14.29,3.52,0.02,0.03
FANTA KOLITA  600ML.,7441003522480,ATUN PRONTO VEGETALES 354G,731701012275,0.0,7.14,3.52,0.05,0.02
RINSO ROSAS Y LILAS 1000G,7411000384596,QUEQUITOS ZARCEREÑA X 9,7443000400365,0.0,14.29,3.52,0.02,0.03
SALSA BANQUETE TOMATE 200 G.,735051007110,CHIKY CHOC. 12,86581010881,0.0,7.14,3.52,0.05,0.02
Papa malla / Frijo malla,597,PRINCE PLUMAS QUESO Y BROCOLI,731701045495,0.0,7.14,3.52,0.05,0.02
JABON DIVA ALOE,7509546650289,AVENA QUAKER MOSH 360GRS Z,803275305012,0.0,20.0,3.52,0.02,0.05
APLICADORES .,8809058410135,PALOMITAS QUESO CHEDAR ACT II,76150220230,0.0,7.14,3.52,0.05,0.02
OFERTA LECHE Coronado,20010113,NATILLA CASERA DEL PRADO 300 GS C/SAL,7441014710937,0.0,20.0,3.52,0.02,0.05
SEMIOLLAS MIXTA TROPICAL PRO 70 GS,7441005712346,frijol chula rojo 850 gs,7410030502666,0.0,10.0,3.52,0.03,0.02
Bolsa sandwich 100 und gran,7441010647343,FRUTAL MANZANA ROJA,7441001004544,0.0,10.0,3.52,0.03,0.02
OFERTA LECHE Coronado,20010113,ARROLLADO DE CREMA 320G,86581311209,0.0,20.0,3.52,0.02,0.05
Bolsa sandwich 100 und gran,7441010647343,GALLETA DE SOLLA VAINILLA 23 GS C.D.,7443001142486,0.0,10.0,3.52,0.03,0.02
Oreo Cookies and Cream unidad,7702133006661,Canasta Chocolate Unid,86581017842,0.0,10.0,3.52,0.03,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,CONSOME MAGGI COSTIL CRI LAM12,7613032343019,0.0,20.0,3.52,0.02,0.05
TORTILLA TETE FAJAS 500 GS,7441031600495,ZUKO MANZANA 13gr,7503037746116,0.0,14.29,3.52,0.02,0.03
MAIZ DULCE RICHLY 240GS,7441002428011,CEREAL BARRA 6,7441001002625,0.01,7.14,3.52,0.09,0.02
TORTILLA ILUSION GINA CLASICA 125 GS,7441031600228,ATUN TESORO DEL MAR TROZOS 2 PACK,7441002653031,0.0,14.29,3.52,0.02,0.03
SORBETO FESTIVAL VAINILLA,86581004187,ARTESANAS  COCO 100 GS,755111689995,0.0,20.0,3.52,0.02,0.05
SALSA BANQUETE TOMATE 200 G.,735051007110,roma ketchup doy pack 106 g,731701017324,0.0,7.14,3.52,0.05,0.02
saba diarios tradicional mregulaR  50 UN.,7501019040870,LAVAPLATOS AXION REG 425G,99176263913,0.0,14.29,3.52,0.02,0.03
JUGO  DISFRUTA FRUTAS MIXTAS 946 ML,7441001615535,TROZOS DE HIGADO DE POLLO EN SALSA POUCHE 100 G,7441007802786,0.0,7.14,3.52,0.05,0.02
JUGO  DISFRUTA FRUTAS MIXTAS 946 ML,7441001615535,CARNE POUCHE BBQ SUPER PERRO,7441007802403,0.0,7.14,3.52,0.05,0.02
JUGO  DISFRUTA FRUTAS MIXTAS 946 ML,7441001615535,JABON DIVA ALOE,7509546650289,0.0,7.14,3.52,0.05,0.02
JUGO  DISFRUTA FRUTAS MIXTAS 946 ML,7441001615535,AJAX C TRICOLIN  REGU 250G,99176120889,0.0,7.14,3.52,0.05,0.02
COPA P/LICOR (08),6951097100408,TAQUITOS 170G,7441000719746,0.0,14.29,3.52,0.02,0.03
BOMBILLO SYLVANIA 50 WTS,7702048175537,PAPEL CELOFAN COLORES,1000011103072,0.0,7.14,3.52,0.05,0.02
BOMBILLO SYLVANIA 50 WTS,7702048175537,TOALLA HUMEDA FAMILY 160,7406233301083,0.0,7.14,3.52,0.05,0.02
AZUCAR BLANCO DONA MARIA 5K,7441042600101,NEVAX MAXI RES. 3+1 ECONOROLLO,7441057267672,0.0,14.29,3.52,0.02,0.03
SALSA BANQUETE TOMATE 200 G.,735051007110,papel aluminio 30m,9090400190006,0.0,7.14,3.52,0.05,0.02
SALSA BANQUETE TOMATE 200 G.,735051007110,JABON PROTEX  ALOE,99176922384,0.01,14.29,3.52,0.05,0.03
XEDEX MAXIMO PODER 500gr,7411000364987,"MOLDE ALUMINIO 25X14,6",9090901170002,0.0,14.29,3.52,0.02,0.03
TOALLAS SABA BUENAS NOCHES 24 UDS,7501019006692,GALLETA MILAN MENTA 134G,7441001650093,0.0,10.0,3.52,0.03,0.02
JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,PROTEX LIMPIEZA PROFUNDA,99176922575,0.0,14.29,3.52,0.02,0.03
FIBRA CONSTRASTE  C/FUNDA,757962010096,ZUKO LIMON 13gr,7503037746147,0.0,7.14,3.52,0.05,0.02
FIBRA CONSTRASTE  C/FUNDA,757962010096,FIDEO ROMA TORNILLO  250GR,731701001408,0.0,7.14,3.52,0.05,0.02
FIBRA CONSTRASTE  C/FUNDA,757962010096,BOLSA DE REGALO BB M,6811237527253,0.0,7.14,3.52,0.05,0.02
MAIZENA SABOR VAINILLA 45gr,7411000343784,CEREAL JACKS CHOKOS 170G,7441001000317,0.0,14.29,3.52,0.02,0.03
MAIZENA SABOR VAINILLA 45gr,7411000343784,MAYONESA BANQUETE LIMON 100G,735051003983,0.0,14.29,3.52,0.02,0.03
MAIZENA SABOR VAINILLA 45gr,7411000343784,FRILO NEGRO ENTERO 240 GS,796500000342,0.0,14.29,3.52,0.02,0.03
TOALLAS SABA BUENAS NOCHES 24 UDS,7501019006692,COPA P/LICOR (08),6951097100408,0.0,10.0,3.52,0.03,0.02
Papa malla / Frijo malla,597,PAPAEL HIGIENICO SCOTT 1000 H.,7441008169314,0.0,7.14,3.52,0.05,0.02
SUAVISANTE TERSO 720 ML,7406171029988,frijol rojo .800 grs maximo Z,7441057502780,0.0,10.0,3.52,0.03,0.02
SUAVISANTE TERSO 720 ML,7406171029988,PRENSAS CLASICASCONSTRATE,757962048334,0.0,10.0,3.52,0.03,0.02
HONGOS NATURAS 210 GRS,7411000313978,SALSA BANQUETE KETCHUP 385GR,735051007103,0.0,14.29,3.52,0.02,0.03
HONGOS NATURAS 210 GRS,7411000313978,atun tesoro del mar 295 grs solidario,7441002648617,0.0,14.29,3.52,0.02,0.03
ROMA PASTA CORTA MIX 12X250g,731701018338,ARTESANAS  COCO 100 GS,755111689995,0.0,20.0,3.52,0.02,0.05
ROMA PASTA CORTA MIX 12X250g,731701018338,FABULOSO LAVANDA 750 ML,99176132431,0.0,20.0,3.52,0.02,0.05
Encanto 3 pack toalla,7416502202423,PASTA DENTAL COLGATE 100 ML.,7501035911031,0.0,20.0,3.52,0.02,0.05
SALSA CHINA TIO PELON 170G,1196,GALLETA CANASTA GUAYABA,86581017828,0.0,7.14,3.52,0.05,0.02
SEMILLAS MIXTAS PRO 80G,7441005702200,pall mall suave,7421000596479,0.0,10.0,3.52,0.03,0.02
ROMA SPAGUETTI 500GS   Z,731701002047,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.0,14.29,3.52,0.02,0.03
FIBRA CONSTRASTE  C/FUNDA,757962010096,MEZCLA VIGUI FRESA 175GRS,14979310558,0.0,7.14,3.52,0.05,0.02
MORTADELA CON TOCINO ZURQUI,7441008931867,FIDEO ROMA TORNILLO  250GR,731701001408,0.0,7.14,3.52,0.05,0.02
MORTADELA CON TOCINO ZURQUI,7441008931867,GUANTE LATEX CLAREX PEQ.,7441155801211,0.0,7.14,3.52,0.05,0.02
MORTADELA CON TOCINO ZURQUI,7441008931867,GUANTE CONSTRASTE MED,757962047542,0.0,7.14,3.52,0.05,0.02
MORTADELA CON TOCINO ZURQUI,7441008931867,JABON DIVA ALOE,7509546650289,0.0,7.14,3.52,0.05,0.02
ARTESANAS  COCO 100 GS,755111689995,CHIKY CHOC. 12,86581010881,0.0,7.14,3.52,0.05,0.02
